question_id,model_count,correct_count,incorrect_count,accuracy_per_item,difficulty,item_group,correct_models,wrong_models
183,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
184,6,2,4,0.3333,0.6667,mixed,gemma3:4b;qwen2.5:7b-instruct,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b
185,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
186,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
187,6,1,5,0.1667,0.8333,mixed,llama3.2:3b,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct
188,6,2,4,0.3333,0.6667,mixed,mistral:7b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
189,5,3,2,0.6,0.4,mixed,gemma3:4b;llama3.2:3b;qwen2.5:7b-instruct,mistral:7b;llama3.1:8b
190,6,1,5,0.1667,0.8333,mixed,mistral:7b,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
191,6,3,3,0.5,0.5,mixed,mistral:7b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini;llama3.2:3b
192,6,2,4,0.3333,0.6667,mixed,phi3:mini;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b
193,6,2,4,0.3333,0.6667,mixed,llama3.2:3b;llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct
194,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
195,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
196,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
197,6,2,4,0.3333,0.6667,mixed,mistral:7b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
198,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
199,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
200,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
201,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
202,6,2,4,0.3333,0.6667,mixed,llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b
203,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
204,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
205,6,2,4,0.3333,0.6667,mixed,mistral:7b;gemma3:4b,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
206,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.2:3b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.1:8b
207,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
208,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.2:3b;llama3.1:8b,mistral:7b;gemma3:4b;qwen2.5:7b-instruct
209,6,1,5,0.1667,0.8333,mixed,llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
210,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;llama3.1:8b;qwen2.5:7b-instruct,phi3:mini;llama3.2:3b
211,6,4,2,0.6667,0.3333,mixed,mistral:7b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b
212,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b,llama3.2:3b;qwen2.5:7b-instruct
213,6,1,5,0.1667,0.8333,mixed,llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
214,6,5,1,0.8333,0.1667,mixed,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b
215,6,1,5,0.1667,0.8333,mixed,phi3:mini,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
216,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
217,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
218,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
219,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
220,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
221,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b,llama3.1:8b;qwen2.5:7b-instruct
222,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
223,6,5,1,0.8333,0.1667,mixed,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b
224,6,4,2,0.6667,0.3333,mixed,gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;phi3:mini
225,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
226,6,4,2,0.6667,0.3333,mixed,gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;phi3:mini
227,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b;llama3.1:8b
228,6,5,1,0.8333,0.1667,mixed,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b
229,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
230,6,1,5,0.1667,0.8333,mixed,llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
231,6,2,4,0.3333,0.6667,mixed,mistral:7b;llama3.1:8b,gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
232,6,2,4,0.3333,0.6667,mixed,mistral:7b;llama3.2:3b,gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct
233,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
234,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
235,6,3,3,0.5,0.5,mixed,gemma3:4b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;phi3:mini;llama3.2:3b
236,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
237,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
238,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b
239,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
240,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
241,6,4,2,0.6667,0.3333,mixed,gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b
242,6,2,4,0.3333,0.6667,mixed,llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b
243,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
244,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
245,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
246,6,2,4,0.3333,0.6667,mixed,llama3.2:3b;llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct
247,6,4,2,0.6667,0.3333,mixed,gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct,mistral:7b;llama3.1:8b
248,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
249,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
250,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
251,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
252,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
253,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.2:3b;llama3.1:8b,mistral:7b;gemma3:4b;qwen2.5:7b-instruct
254,6,1,5,0.1667,0.8333,mixed,phi3:mini,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
255,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
256,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct,llama3.2:3b;llama3.1:8b
257,6,4,2,0.6667,0.3333,mixed,gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b
258,6,1,5,0.1667,0.8333,mixed,llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
259,6,3,3,0.5,0.5,mixed,mistral:7b;gemma3:4b;qwen2.5:7b-instruct,phi3:mini;llama3.2:3b;llama3.1:8b
260,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
261,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
262,6,2,4,0.3333,0.6667,mixed,mistral:7b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
263,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.2:3b;llama3.1:8b,mistral:7b;gemma3:4b;qwen2.5:7b-instruct
264,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
265,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,phi3:mini
266,6,1,5,0.1667,0.8333,mixed,phi3:mini,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
267,6,3,3,0.5,0.5,mixed,gemma3:4b;phi3:mini;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b;llama3.1:8b
268,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
269,6,1,5,0.1667,0.8333,mixed,mistral:7b,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
270,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
271,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
272,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
273,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
274,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
275,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
276,6,4,2,0.6667,0.3333,mixed,mistral:7b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini
277,6,2,4,0.3333,0.6667,mixed,llama3.2:3b;llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct
278,6,1,5,0.1667,0.8333,mixed,gemma3:4b,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
279,6,3,3,0.5,0.5,mixed,mistral:7b;gemma3:4b;phi3:mini,llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
280,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
281,6,3,3,0.5,0.5,mixed,mistral:7b;gemma3:4b;phi3:mini,llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
282,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
283,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;llama3.1:8b,gemma3:4b;llama3.2:3b;qwen2.5:7b-instruct
284,6,1,5,0.1667,0.8333,mixed,gemma3:4b,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
285,6,4,2,0.6667,0.3333,mixed,mistral:7b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b
286,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
287,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
288,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,phi3:mini
289,6,2,4,0.3333,0.6667,mixed,llama3.2:3b;llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct
290,6,2,4,0.3333,0.6667,mixed,llama3.2:3b;llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;qwen2.5:7b-instruct
291,6,1,5,0.1667,0.8333,mixed,phi3:mini,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
292,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
293,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
294,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
295,6,4,2,0.6667,0.3333,mixed,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b,mistral:7b;qwen2.5:7b-instruct
296,5,1,4,0.2,0.8,mixed,mistral:7b,gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
297,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
298,6,1,5,0.1667,0.8333,mixed,gemma3:4b,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
299,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
300,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b
301,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,phi3:mini
302,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b;llama3.1:8b
303,6,2,4,0.3333,0.6667,mixed,mistral:7b;gemma3:4b,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
304,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
305,6,1,5,0.1667,0.8333,mixed,llama3.2:3b,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct
306,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
307,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b
308,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
309,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.2:3b;llama3.1:8b,mistral:7b;gemma3:4b;qwen2.5:7b-instruct
310,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b;llama3.1:8b
311,6,2,4,0.3333,0.6667,mixed,mistral:7b;gemma3:4b,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
312,6,3,3,0.5,0.5,mixed,gemma3:4b;phi3:mini;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b;llama3.1:8b
313,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
314,6,3,3,0.5,0.5,mixed,gemma3:4b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;phi3:mini;llama3.2:3b
315,6,3,3,0.5,0.5,mixed,llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini
316,6,4,2,0.6667,0.3333,mixed,mistral:7b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct,gemma3:4b;llama3.1:8b
317,6,3,3,0.5,0.5,mixed,mistral:7b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini;llama3.2:3b
318,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
319,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b,phi3:mini;qwen2.5:7b-instruct
320,6,2,4,0.3333,0.6667,mixed,mistral:7b;gemma3:4b,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
321,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
322,6,4,2,0.6667,0.3333,mixed,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b
323,6,1,5,0.1667,0.8333,mixed,gemma3:4b,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
324,6,5,1,0.8333,0.1667,mixed,mistral:7b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b
325,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
326,6,3,3,0.5,0.5,mixed,gemma3:4b;phi3:mini;llama3.2:3b,mistral:7b;llama3.1:8b;qwen2.5:7b-instruct
327,6,2,4,0.3333,0.6667,mixed,phi3:mini;llama3.1:8b,mistral:7b;gemma3:4b;llama3.2:3b;qwen2.5:7b-instruct
328,6,3,3,0.5,0.5,mixed,phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b
329,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
330,6,2,4,0.3333,0.6667,mixed,phi3:mini;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b
331,6,3,3,0.5,0.5,mixed,llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini
332,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
333,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,phi3:mini
334,6,2,4,0.3333,0.6667,mixed,mistral:7b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
335,6,1,5,0.1667,0.8333,mixed,llama3.1:8b,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct
336,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
337,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
338,6,2,4,0.3333,0.6667,mixed,phi3:mini;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;llama3.2:3b;llama3.1:8b
339,6,2,4,0.3333,0.6667,mixed,mistral:7b;gemma3:4b,phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
340,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct,llama3.1:8b
341,6,2,4,0.3333,0.6667,mixed,gemma3:4b;phi3:mini,mistral:7b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
342,6,5,1,0.8333,0.1667,mixed,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b
343,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
344,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
345,6,4,2,0.6667,0.3333,mixed,mistral:7b;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;phi3:mini
346,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b,qwen2.5:7b-instruct
347,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,llama3.2:3b
348,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
349,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
350,6,5,1,0.8333,0.1667,mixed,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b
351,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
352,6,3,3,0.5,0.5,mixed,mistral:7b;gemma3:4b;qwen2.5:7b-instruct,phi3:mini;llama3.2:3b;llama3.1:8b
353,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
354,6,3,3,0.5,0.5,mixed,gemma3:4b;phi3:mini;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b;llama3.1:8b
355,6,2,4,0.3333,0.6667,mixed,llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b
356,6,3,3,0.5,0.5,mixed,llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini
357,6,1,5,0.1667,0.8333,mixed,qwen2.5:7b-instruct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b
358,6,4,2,0.6667,0.3333,mixed,gemma3:4b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b;llama3.2:3b
359,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
360,6,4,2,0.6667,0.3333,mixed,mistral:7b;phi3:mini;llama3.1:8b;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b
361,6,5,1,0.8333,0.1667,mixed,gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,mistral:7b
362,6,6,0,1.0,0.0,all_correct,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct,
363,6,0,6,0.0,1.0,all_wrong,,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;llama3.1:8b;qwen2.5:7b-instruct
364,6,5,1,0.8333,0.1667,mixed,mistral:7b;gemma3:4b;phi3:mini;llama3.2:3b;qwen2.5:7b-instruct,llama3.1:8b
365,6,4,2,0.6667,0.3333,mixed,mistral:7b;gemma3:4b;llama3.2:3b;qwen2.5:7b-instruct,phi3:mini;llama3.1:8b
366,6,3,3,0.5,0.5,mixed,mistral:7b;phi3:mini;qwen2.5:7b-instruct,gemma3:4b;llama3.2:3b;llama3.1:8b
